"名称","個別医薬品コード","長径","短径","直径","厚さ"
"オランザピンOD錠5mg「NP」","1179044F4176","","","8.0mm","4.0mm"
"オランザピンOD錠5mg「NIG」","1179044F4184","","","8.0mm","3.6mm"
"ジプレキサザイディス錠10mg","1179044F5024","","","11mm","2.7mm"
"オランザピンOD錠10mg「DSEP」","1179044F5032","","","10.1mm","4.5mm"
"オランザピンOD錠10mg「アメル」","1179044F5067","","","約10.0mm","約4.9mm"
"オランザピンOD錠10mg「杏林」","1179044F5075","","","10.1mm","4.5mm"
"オランザピンOD錠10mg「トーワ」","1179044F5105","","","9.0mm","4.3mm"
"オランザピンOD錠10mg「日医工」","1179044F5113","","","8.5mm","4.1mm"
"オランザピンOD錠10mg「ニプロ」","1179044F5121","","","10.0mm","5.0mm"
"オランザピンOD錠10mg「明治」","1179044F5148","","","10.1（mm）","4.7（mm）"
"オランザピンOD錠10mg「VTRS」","1179044F5164","","","8.0mm","3.7mm"
"オランザピンOD錠10mg「NP」","1179044F5172","","","10.0mm","5.0mm"
"オランザピンOD錠10mg「NIG」","1179044F5180","","","10.0mm","4.5mm"
"ジプレキサザイディス錠2.5mg","1179044F6020","","","10mm","2.4mm"
"オランザピンOD錠2.5mg「DSEP」","1179044F6039","","","6.1mm","3.0mm"
"オランザピンOD錠2.5mg「アメル」","1179044F6063","","","約7.0mm","約3.2mm"
"オランザピンOD錠2.5mg「杏林」","1179044F6071","","","6.1mm","3.0mm"
"オランザピンOD錠2.5mg「トーワ」","1179044F6101","","","5.5mm","2.7mm"
"オランザピンOD錠2.5mg「明治」","1179044F6128","","","6.4（mm）","2.6（mm）"
"オランザピンOD錠2.5mg「日医工」","1179044F6136","","","6.1mm","3.0mm"
"オランザピンOD錠2.5mg「ニプロ」","1179044F6144","","","7.0mm","3.4mm"
"オランザピンOD錠2.5mg「VTRS」","1179044F6152","8.3mm","4.0mm","","2.7mm"
"オランザピンOD錠2.5mg「NIG」","1179044F6160","","","6.5mm","2.8mm"
"オランザピン錠1.25mg「アメル」","1179044F7027","","","約6.2mm","約2.9mm"
"オランザピン錠20mg「アメル」","1179044F8040","","","約10.2mm","約5.0mm"
"オランザピンOD錠1.25mg「アメル」","1179044F9020","","","約7.0mm","約3.2mm"
"エビリファイ錠3mg","1179045F1023","","","6mm","2.5mm"
"アリピプラゾール錠3mg「YD」","1179045F1040","","","約5mm","約1.9mm"
"アリピプラゾール錠3mg「アメル」","1179045F1058","","","約6.0mm","約2.4mm"
"アリピプラゾール錠3mg「サワイ」","1179045F1074","","","6.0mm","2.6mm"
"アリピプラゾール錠3mg「トーワ」","1179045F1090","","","6.0mm","2.5mm"
"アリピプラゾール錠3mg「日医工」","1179045F1104","","","6.0mm","2.5mm"
"アリピプラゾール錠3mg「ニプロ」","1179045F1112","","","6.0mm","2.5mm"
"アリピプラゾール錠3mg「明治」","1179045F1120","","","6.0（mm）","2.5（mm）"
"エビリファイ錠6mg","1179045F2020","","","7mm","2.7mm"
"アリピプラゾール錠6mg「YD」","1179045F2046","","","約6mm","約2.7mm"
"アリピプラゾール錠6mg「アメル」","1179045F2054","","","約7.0mm","約2.7mm"
"アリピプラゾール錠6mg「サワイ」","1179045F2070","","","7.0mm","2.8mm"
"アリピプラゾール錠6mg「トーワ」","1179045F2097","","","7.0mm","2.7mm"
"アリピプラゾール錠6mg「日医工」","1179045F2100","","","7.0mm","2.7mm"
"アリピプラゾール錠6mg「ニプロ」","1179045F2119","","","7.0mm","2.7mm"
"アリピプラゾール錠6mg「明治」","1179045F2127","","","7.0（mm）","2.6（mm）"
"エビリファイ錠12mg","1179045F3026","","","8mm","2.8mm"
"アリピプラゾール錠12mg「YD」","1179045F3042","","","約8mm","約3.1mm"
"アリピプラゾール錠12mg「アメル」","1179045F3050","","","約8.0mm","約2.8mm"
"アリピプラゾール錠12mg「サワイ」","1179045F3077","","","8.0mm","2.9mm"
"アリピプラゾール錠12mg「トーワ」","1179045F3093","","","8.0mm","2.8mm"
"アリピプラゾール錠12mg「日医工」","1179045F3107","","","8.0mm","2.8mm"
"アリピプラゾール錠12mg「ニプロ」","1179045F3115","","","8.0mm","2.8mm"
"アリピプラゾール錠12mg「明治」","1179045F3123","","","8.0（mm）","2.8（mm）"
"エビリファイOD錠3mg","1179045F4022","","","約10mm","約3mm"
"アリピプラゾールOD錠3mg「杏林」","1179045F4065","","","6.0mm","3.0mm"
"アリピプラゾールOD錠3mg「トーワ」","1179045F4090","","","6.5mm","3.3mm"
"アリピプラゾールOD錠3mg「日医工」","1179045F4103","","","6.0mm","2.7mm"
"アリピプラゾールOD錠3mg「ニプロ」","1179045F4111","","","6.0mm","2.6mm"
"アリピプラゾールOD錠3mg「明治」","1179045F4120","","","6.0（mm）","2.5（mm）"
"エビリファイOD錠6mg","1179045F5029","","","約12mm","約4mm"
"アリピプラゾールOD錠6mg「杏林」","1179045F5061","","","7.0mm","3.3mm"
"アリピプラゾールOD錠6mg「トーワ」","1179045F5096","","","7.5mm","3.5mm"
"アリピプラゾールOD錠6mg「日医工」","1179045F5100","","","7.0mm","2.9mm"
"アリピプラゾールOD錠6mg「ニプロ」","1179045F5118","","","7.0mm","2.8mm"
"アリピプラゾールOD錠6mg「明治」","1179045F5126","","","7.0（mm）","2.6（mm）"
"エビリファイOD錠12mg","1179045F6025","","","約14mm","約4mm"
"アリピプラゾールOD錠12mg「杏林」","1179045F6068","","","8.0mm","3.5mm"
"アリピプラゾールOD錠12mg「トーワ」","1179045F6092","","","8.5mm","4.0mm"
"アリピプラゾールOD錠12mg「日医工」","1179045F6106","","","8.0mm","3.1mm"
"アリピプラゾールOD錠12mg「ニプロ」","1179045F6114","","","8.0mm","2.9mm"
"アリピプラゾールOD錠12mg「明治」","1179045F6122","","","9.0（mm）","3.8（mm）"
"エビリファイOD錠24mg","1179045F7021","","","約18mm","約5mm"
"アリピプラゾールOD錠24mg「杏林」","1179045F7064","","","10.0mm","4.5mm"
"アリピプラゾールOD錠24mg「トーワ」","1179045F7099","","","9.5mm","4.7mm"
"アリピプラゾールOD錠24mg「日医工」","1179045F7102","","","10.0mm","3.9mm"
"アリピプラゾールOD錠24mg「ニプロ」","1179045F7110","","","9.0mm","3.2mm"
"アリピプラゾールOD錠24mg「明治」","1179045F7129","16.0（mm）","7.8（mm）","","4.3（mm）"
"エビリファイ錠1mg","1179045F8028","","","6mm","2.5mm"
"アリピプラゾール錠1mg「サワイ」","1179045F8036","","","6.0mm","2.6mm"
"アリピプラゾール錠24mg「YD」","1179045F9024","","","約10mm","約4.1mm"
"アリピプラゾール錠24mg「アメル」","1179045F9032","","","約11.0mm","約3.9mm"
"アリピプラゾール錠24mg「サワイ」","1179045F9059","","","9.0mm","3.3mm"
"アリピプラゾール錠24mg「トーワ」","1179045F9067","","","9.0mm","3.7mm"
"アリピプラゾール錠24mg「明治」","1179045F9075","13.5（mm）","6.5（mm）","","4.2（mm）"
"セルトラリン錠25mg「DSEP」","1179046F1036","8.4mm","4.1mm","","2.7mm"
"セルトラリン錠25mg「TCK」","1179046F1052","8.4mm","4.1mm","","3.1mm"
"セルトラリン錠25mg「YD」","1179046F1060","約8.4mm","約4.1mm","","約2.6mm"
"セルトラリン錠25mg「アメル」","1179046F1079","約8.4mm","約4.1mm","","約2.6mm"
"セルトラリン錠25mg「杏林」","1179046F1095","8.5mm","4.5mm","","2.7mm"
"セルトラリン錠25mg「ケミファ」","1179046F1109","","","長径 8.4mm短径 4.1mm","2.7mm"
"セルトラリン錠25mg「サワイ」","1179046F1117","","","8.5mm×4.2mm","2.5mm"
"セルトラリン錠25mg「ツルハラ」","1179046F1168","","","約5.6mm","約2.9mm"
"セルトラリン錠25mg「トーワ」","1179046F1176","8.4mm","4.1mm","","2.2mm"
"セルトラリン錠25mg「明治」","1179046F1206","8.4（mm）","4.1（mm）","","2.6（mm）"
"セルトラリン錠25mg「NP」","1179046F1214","8.4mm","4.1mm","","2.7mm"
"セルトラリン錠50mg「DSEP」","1179046F2032","","","7.1mm","3.7mm"
"セルトラリン錠50mg「TCK」","1179046F2059","","","7.1mm","3.6mm"
"セルトラリン錠50mg「YD」","1179046F2067","","","約7.1mm","約3.6mm"
"セルトラリン錠50mg「アメル」","1179046F2075","","","約7.1mm","約3.4mm"
"セルトラリン錠50mg「杏林」","1179046F2091","","","7.1mm","3.6mm"
"セルトラリン錠50mg「ケミファ」","1179046F2105","","","7.1mm","3.7mm"
"セルトラリン錠50mg「サワイ」","1179046F2113","","","7.2mm","3.5mm"
"セルトラリン錠50mg「ツルハラ」","1179046F2164","","","約7.1mm","約3.1mm"
"セルトラリン錠50mg「トーワ」","1179046F2172","","","7.1mm","3.4mm"
"セルトラリン錠50mg「明治」","1179046F2202","","","7.1（mm）","3.6（mm）"
"セルトラリン錠50mg「NP」","1179046F2210","","","7.1mm","3.7mm"
"セルトラリン錠100mg「アメル」","1179046F3039","","","約9.1mm","約4.2mm"
"セルトラリン錠100mg「ツルハラ」","1179046F3063","","","約8.6mm","約4.1mm"
"セルトラリン錠100mg「明治」","1179046F3071","","","9.1（mm）","3.9（mm）"
"セルトラリン錠100mg「DSEP」","1179046F3080","","","8.6mm","4.1mm"
"セルトラリン錠100mg「TCK」","1179046F3101","12.2mm","6.1mm","","4.5mm"
"セルトラリン錠100mg「杏林」","1179046F3128","12.2mm","6.1mm","","4.4mm"
"セルトラリン錠100mg「ケミファ」","1179046F3136","","","9.6mm","4.2mm"
"セルトラリン錠100mg「サワイ」","1179046F3144","","","12.6mm×6.4mm","4.6mm"
"セルトラリン錠100mg「YD」","1179046F3187","","","約9.6mm","約4.1mm"
"セルトラリン錠100mg「トーワ」","1179046F3195","","","9.0mm","4.2mm"
"セルトラリン錠100mg「NP」","1179046F3217","","","8.6mm","4.1mm"
"セルトラリンOD錠25mg「アメル」","1179046F4035","","","約7.5mm","約2.8mm"
"セルトラリンOD錠25mg「トーワ」","1179046F4043","","","8.0mm","3.5mm"
"セルトラリンOD錠50mg「アメル」","1179046F5031","","","約9.5mm","約3.5mm"
"セルトラリンOD錠50mg「トーワ」","1179046F5040","","","10.0mm","4.6mm"
"セルトラリンOD錠100mg「トーワ」","1179046F6038","","","13.0mm","5.5mm"
"モディオダール錠100mg","1179047F1022","12.6mm","5.5mm","","3.7mm"
"ロナセン錠2mg","1179048F1027","","","約5.8mm","約2.4mm"
"ブロナンセリン錠2mg「DSEP」","1179048F1035","","","6mm","2.3mm"
"ブロナンセリン錠2mg「DSPB」","1179048F1043","","","約5.8mm","約2.4mm"
"ブロナンセリン錠2mg「YD」","1179048F1060","","","約6mm","約2.3mm"
"ブロナンセリン錠2mg「アメル」","1179048F1078","","","約6.0mm","約2.4mm"
"ブロナンセリン錠2mg「サワイ」","1179048F1086","","","5.8mm","2.4mm"
"ブロナンセリン錠2mg「トーワ」","1179048F1108","","","約6mm","約2.3mm"
"ブロナンセリン錠2mg「日医工」","1179048F1116","","","5.8mm","2.4mm"
"ブロナンセリン錠2mg「ニプロ」","1179048F1124","","","6.0mm","2.3mm"
"ロナセン錠4mg","1179048F2023","","","約7.5mm","約2.3mm"
"ブロナンセリン錠4mg「DSEP」","1179048F2031","","","7.5mm","2.3mm"
"ブロナンセリン錠4mg「DSPB」","1179048F2040","","","約7.5mm","約2.3mm"
"ブロナンセリン錠4mg「YD」","1179048F2066","","","約7.5mm","約2.3mm"
"ブロナンセリン錠4mg「アメル」","1179048F2074","","","約7.5mm","約2.3mm"
"ブロナンセリン錠4mg「サワイ」","1179048F2082","","","7.5mm","2.3mm"
"ブロナンセリン錠4mg「トーワ」","1179048F2104","","","約7.5mm","約2.3mm"
"ブロナンセリン錠4mg「日医工」","1179048F2112","","","7.5mm","2.2mm"
"ブロナンセリン錠4mg「ニプロ」","1179048F2120","","","7.5mm","2.3mm"
"ロナセン錠8mg","1179048F3020","","","約9mm","約3.2mm"
"ブロナンセリン錠8mg「DSEP」","1179048F3038","","","9mm","3.2mm"
"ブロナンセリン錠8mg「DSPB」","1179048F3046","","","約9mm","約3.2mm"
"ブロナンセリン錠8mg「YD」","1179048F3062","","","約9mm","約3.2mm"
"ブロナンセリン錠8mg「アメル」","1179048F3070","","","約9.0mm","約3.2mm"
"ブロナンセリン錠8mg「サワイ」","1179048F3089","","","9.0mm","3.2mm"
"ブロナンセリン錠8mg「トーワ」","1179048F3100","","","約9mm","約3.2mm"
"ブロナンセリン錠8mg「日医工」","1179048F3119","","","9.0mm","3.1mm"
"ブロナンセリン錠8mg「ニプロ」","1179048F3127","","","9.0mm","3.2mm"
"アトモキセチン錠5mg「DSEP」","1179050F1024","","","5.1mm","2.8mm"
"アトモキセチン錠5mg「トーワ」","1179050F1040","","","5.1mm","2.8mm"
"アトモキセチン錠5mg「ニプロ」","1179050F1059","","","5.1mm","2.8mm"
"アトモキセチン錠10mg「DSEP」","1179050F2020","","","6.6mm","3.3mm"
"アトモキセチン錠10mg「トーワ」","1179050F2047","","","6.6mm","3.3mm"
"アトモキセチン錠10mg「ニプロ」","1179050F2055","","","6.6mm","3.3mm"
"アトモキセチン錠25mg「DSEP」","1179050F3027","","","7.6mm","3.1mm"
"アトモキセチン錠25mg「トーワ」","1179050F3043","","","7.6mm","3.1mm"
"アトモキセチン錠25mg「ニプロ」","1179050F3051","","","7.6mm","3.1mm"
"アトモキセチン錠40mg「DSEP」","1179050F4023","","","8.6mm","3.7mm"
"アトモキセチン錠40mg「トーワ」","1179050F4040","","","8.6mm","3.7mm"
"アトモキセチン錠40mg「ニプロ」","1179050F4058","","","8.6mm","3.7mm"
"アトモキセチンカプセル5mg「アメル」","1179050M1066","約15.7mm","約5.9mm","",""
"アトモキセチンカプセル10mg「アメル」","1179050M2062","約15.7mm","約5.9mm","",""
"アトモキセチンカプセル25mg「アメル」","1179050M3069","約15.7mm","約5.9mm","",""
"アトモキセチンカプセル40mg「アメル」","1179050M4065","約15.7mm","約5.9mm","",""
"リフレックス錠15mg","1179051F1029","10（mm）","6（mm）","","3.5（mm）"
"レメロン錠15mg","1179051F1037","10mm","約6mm","","約3.5mm"
"ミルタザピン錠15mg「EE」","1179051F1045","","","約10.1×6.1mm","約3.5mm"
"ミルタザピン錠15mg「JG」","1179051F1053","10.4mm","6.1mm","","3.4mm"
"ミルタザピン錠15mg「TCK」","1179051F1061","","","6.6mm","3.1mm"
"ミルタザピン錠15mg「YD」","1179051F1070","約10.1mm","約6.1mm","","約3.5mm"
"ミルタザピン錠15mg「杏林」","1179051F1100","10.1mm","6.1mm","","3.5mm"
"ミルタザピン錠15mg「サワイ」","1179051F1126","","","10.1mm×5.9mm","3.5mm"
"ミルタザピン錠15mg「トーワ」","1179051F1142","10.1mm","6.1mm","","3.5mm"
"ミルタザピン錠15mg「日新」","1179051F1169","10.1mm","6.1mm","",""
"ミルタザピン錠15mg「ニプロ」","1179051F1177","10.1mm","6.1mm","","3.5mm"
"ミルタザピン錠15mg「明治」","1179051F1207","10（mm）","6（mm）","","3.5（mm）"
"リフレックス錠30mg","1179051F2025","13（mm）","7（mm）","","4.6（mm）"
"レメロン錠30mg","1179051F2033","13mm","約7mm","","約4.6mm"
"ミルタザピン錠30mg「EE」","1179051F2041","","","約13.1×7.1mm","約4.4mm"
"ミルタザピン錠30mg「JG」","1179051F2050","12.7mm","7.5mm","","4.7mm"
"ミルタザピン錠30mg「TCK」","1179051F2068","","","8.2mm","3.9mm"
"ミルタザピン錠30mg「YD」","1179051F2076","約13.1mm","約7.1mm","","約4.5mm"
"ミルタザピン錠30mg「杏林」","1179051F2106","13.1mm","7.1mm","","4.2mm"
"ミルタザピン錠30mg「サワイ」","1179051F2122","","","12.6mm×7.4mm","4.6mm"
"ミルタザピン錠30mg「トーワ」","1179051F2149","13.1mm","7.1mm","","4.4mm"
"ミルタザピン錠30mg「日新」","1179051F2165","13.1mm","7.1mm","",""
"ミルタザピン錠30mg「ニプロ」","1179051F2173","13.1mm","7.0mm","","4.6mm"
"ミルタザピン錠30mg「明治」","1179051F2203","13（mm）","7（mm）","","4.6（mm）"
"ミルタザピンOD錠15mg「DSEP」","1179051F3021","","","8.0mm","3.3mm"
"ミルタザピンOD錠15mg「アメル」","1179051F3030","","","約8.1mm","約3.4mm"
"ミルタザピンOD錠15mg「サワイ」","1179051F3048","","","10.1mm×5.9mm","3.6mm"
"ミルタザピンOD錠15mg「トーワ」","1179051F3056","","","8.0mm","3.3mm"
"ミルタザピンOD錠15mg「ニプロ」","1179051F3064","","","8.0mm","3.4mm"
"ミルタザピンOD錠30mg「DSEP」","1179051F4028","","","10.0mm","4.3mm"
"ミルタザピンOD錠30mg「アメル」","1179051F4036","","","約10.1mm","約4.6mm"
"ミルタザピンOD錠30mg「サワイ」","1179051F4044","","","12.6mm×7.3mm","4.9mm"
"ミルタザピンOD錠30mg「トーワ」","1179051F4052","","","10.0mm","4.3mm"
"ミルタザピンOD錠30mg「ニプロ」","1179051F4060","","","10.0mm","4.6mm"
"デュロキセチン錠20mg「ケミファ」","1179052F1023","","","8.5mm","5.4mm"
"デュロキセチン錠20mg「トーワ」","1179052F1031","","","8.5mm","5.4mm"
"デュロキセチン錠30mg「ケミファ」","1179052F2020","","","10.0mm","5.9mm"
"デュロキセチン錠30mg「トーワ」","1179052F2038","","","10.0mm","5.9mm"
"デュロキセチンOD錠20mg「ニプロ」","1179052F3026","","","9.7mm","5.2mm"
"デュロキセチンOD錠20mg「明治」","1179052F3034","","","9.6mm）","5.2（mm）"
"デュロキセチンOD錠30mg「ニプロ」","1179052F4022","","","11.1mm","5.8mm"
"デュロキセチンOD錠30mg「明治」","1179052F4030","","","11.1（mm）","5.8（mm）"
"デュロキセチンカプセル20mg「DSEP」","1179052M1030","14.2mm","5.3mm","",""
"デュロキセチンカプセル20mg「アメル」","1179052M1073","約14.2mm","約5.3mm","",""
"デュロキセチンカプセル20mg「オーハラ」","1179052M1081","14.2mm","5.3mm","",""
"デュロキセチンカプセル20mg「ニプロ」","1179052M1138","14.1mm","5.2mm","",""
"デュロキセチンカプセル20mg「明治」","1179052M1162","","","長径14.3（mm）短径5.3（mm）",""
"デュロキセチンカプセル30mg「DSEP」","1179052M2037","15.8mm","5.8mm","",""
"デュロキセチンカプセル30mg「アメル」","1179052M2070","約15.8mm","約5.8mm","",""
"デュロキセチンカプセル30mg「オーハラ」","1179052M2088","15.8mm","5.8mm","",""
"デュロキセチンカプセル30mg「ニプロ」","1179052M2134","15.5mm","5.6mm","",""
"デュロキセチンカプセル30mg「明治」","1179052M2169","","","長径15.8（mm）短径5.7（mm）",""
"エスシタロプラム錠10mg「サワイ」","1179054F1057","","","10.1mm×4.7mm","3.3mm"
"エスシタロプラム錠10mg「トーワ」","1179054F1073","10.1mm","4.7mm","","3.3mm"
"エスシタロプラム錠10mg「日医工」","1179054F1081","","","10.1×4.7mm","3.3mm"
"エスシタロプラム錠10mg「ニプロ」","1179054F1090","10.1mm","4.7mm","","3.4mm"
"エスシタロプラム錠10mg「明治」","1179054F1103","","","長径：10.0（mm）短径： 4.6（mm）","3.3（mm）"
"エスシタロプラム錠10mg「TCK」","1179054F1111","10.0mm","4.7mm","","3.3mm"
"エスシタロプラム錠20mg「サワイ」","1179054F2053","","","13.1mm×6.1mm","4.0mm"
"エスシタロプラム錠20mg「トーワ」","1179054F2070","13.1mm","6.1mm","","4.0mm"
"エスシタロプラム錠20mg「日医工」","1179054F2088","","","13.1×6.1mm","3.9mm"
"エスシタロプラム錠20mg「ニプロ」","1179054F2096","12.9mm","5.9mm","","4.1mm"
"エスシタロプラム錠20mg「明治」","1179054F2100","","","長径：13.0（mm）短径： 6.0（mm）","4.1（mm）"
"エスシタロプラム錠20mg「TCK」","1179054F2118","12.9mm","5.9mm","","4.2mm"
"エスシタロプラムOD錠10mg「DSEP」","1179054F3025","10.4mm","4.9mm","","2.8mm"
"エスシタロプラムOD錠10mg「サワイ」","1179054F3033","","","7.0mm","2.7mm"
"エスシタロプラムOD錠10mg「トーワ」","1179054F3041","","","8.0mm","3.6mm"
"エスシタロプラムOD錠20mg「DSEP」","1179054F4021","13.1mm","6.2mm","","3.6mm"
"エスシタロプラムOD錠20mg「サワイ」","1179054F4030","","","9.0mm","3.3mm"
"エスシタロプラムOD錠20mg「トーワ」","1179054F4048","","","10.0mm","4.7mm"
"シクレスト舌下錠5mg","1179056F1021","","","約12（mm）","約3（mm）"
"シクレスト舌下錠10mg","1179056F2028","","","約12（mm）","約3（mm）"
"インチュニブ錠1mg","1179057G1021","","","約7.1mm","約4mm"
"インチュニブ錠3mg","1179057G2028","","","約7.9mm","約4mm"
"レキサルティ錠1mg","1179058F1020","","","6.1mm","2.7mm"
"レキサルティ錠2mg","1179058F2027","","","6.1mm","2.7mm"
"レキサルティOD錠0.5mg","1179058F3023","","","6mm","2.7mm"
"レキサルティOD錠1mg","1179058F4020","","","6mm","2.7mm"
"レキサルティOD錠2mg","1179058F5026","","","6mm","2.7mm"
"トリンテリックス錠10mg","1179060F1028","","","約7.6mm","約3.3mm"
"トリンテリックス錠20mg","1179060F2024","","","約7.6mm","約3.3mm"
"ラツーダ錠20mg","1179061F1022","","","約6.1mm","約2.9mm"
"ラツーダ錠40mg","1179061F2029","","","約8.1mm","約3.3mm"
"ラツーダ錠60mg","1179061F3025","約13.3mm","約5.7mm","","約3.8mm"
"ラツーダ錠80mg","1179061F4021","約12.2mm","約6.9mm","","約5.2mm"
"ピーエイ配合錠","1180109F1034","","","9.0mm","5.0mm"
"グラマリール錠25mg","1190004F1021","","","約6.1mm","約3.0mm"
"チアプリド錠25mg「サワイ」","1190004F1145","","","6.1mm","3.2mm"
"チアプリド錠25mg「JG」","1190004F1170","","","6.1mm","3.1mm"
"チアプリド錠25mg「NIG」","1190004F1200","","","6.1mm","3.0mm"
"グラマリール錠50mg","1190004F2028","","","約7.1mm","約3.4mm"
"チアプリド錠50mg「サワイ」","1190004F2133","","","7.1mm","3.3mm"
"チアプリド錠50mg「JG」","1190004F2168","","","7.1mm","3.5mm"
"チアプリド錠50mg「NIG」","1190004F2192","","","7.1mm","3.9mm"
"リルテック錠50","1190011F1021","約10.1mm","約5.1mm","","約3.2mm"
"リルゾール錠50mg「AA」","1190011F1030","約10.1mm","約5.1mm","","約3.2mm"
"リルゾール錠50mg「ニプロ」","1190011F1056","約10.1mm","約5.1mm","","約3.2mm"
"ドネペジル塩酸塩錠3mg「DSEP」","1190012F1042","","","7.1mm","3.7mm"
"ドネペジル塩酸塩錠3mg「NP」","1190012F1085","","","7.1mm","3.3mm"
"ドネペジル塩酸塩錠3mg「TSU」","1190012F1107","","","約 6.1mm","約 2.7mm"
"ドネペジル塩酸塩錠3mg「アメル」","1190012F1123","","","約6.1mm","約2.7mm"
"ドネペジル塩酸塩錠3mg「オーハラ」","1190012F1131","","","7.1mm","3.7mm"
"ドネペジル塩酸塩錠3mg「杏林」","1190012F1158","","","7.1mm","3.4mm"
"ドネペジル塩酸塩錠3mg「サワイ」","1190012F1182","","","7.1mm","3.5mm"
"ドネペジル塩酸塩錠3mg「サンド」","1190012F1190","","","7.1mm","3.3mm"
"ドネペジル塩酸塩錠3mg「トーワ」","1190012F1239","","","6.1mm","2.9mm"
"ドネペジル塩酸塩錠3mg「日医工」","1190012F1247","","","7.1mm","3.3mm"
"ドネペジル塩酸塩錠3mg「明治」","1190012F1271","","","6.1（mm）","2.8（mm）"
"ドネペジル塩酸塩錠3mg「クニヒロ」","1190012F1328","","","7.1mm","3.7mm"
"ドネペジル塩酸塩錠5mg「DSEP」","1190012F2049","","","7.1mm","3.7mm"
"ドネペジル塩酸塩錠5mg「NP」","1190012F2081","","","7.1mm","3.3mm"
"ドネペジル塩酸塩錠5mg「TSU」","1190012F2103","","","約 6.1mm","約 2.7mm"
"ドネペジル塩酸塩錠5mg「アメル」","1190012F2120","","","約7.1mm","約3.3mm"
"ドネペジル塩酸塩錠5mg「オーハラ」","1190012F2138","","","7.1mm","3.7mm"
"ドネペジル塩酸塩錠5mg「杏林」","1190012F2154","","","7.1mm","3.4mm"
"ドネペジル塩酸塩錠5mg「サワイ」","1190012F2189","","","7.1mm","3.5mm"
"ドネペジル塩酸塩錠5mg「サンド」","1190012F2197","","","7.1mm","3.3mm"
"ドネペジル塩酸塩錠5mg「トーワ」","1190012F2235","","","7.1mm","3.2mm"
"ドネペジル塩酸塩錠5mg「日医工」","1190012F2243","","","7.1mm","3.3mm"
"ドネペジル塩酸塩錠5mg「明治」","1190012F2278","","","7.1（mm）","3.6（mm）"
"ドネペジル塩酸塩錠5mg「クニヒロ」","1190012F2324","","","7.1mm","3.7mm"
"ドネペジル塩酸塩OD錠3mg「NP」","1190012F3070","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠3mg「TCK」","1190012F3088","","","6.5mm","2.4mm"
"ドネペジル塩酸塩OD錠3mg「YD」","1190012F3096","","","約6.5mm","約2.4mm"
"ドネペジル塩酸塩OD錠3mg「ZE」","1190012F3100","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠3mg「アメル」","1190012F3118","","","約8.0mm","約3.3mm"
"ドネペジル塩酸塩OD錠3mg「杏林」","1190012F3134","","","6.5mm","2.4mm"
"ドネペジル塩酸塩OD錠3mg「サワイ」","1190012F3169","","","8.0mm","3.3mm"
"ドネペジル塩酸塩OD錠3mg「トーワ」","1190012F3207","","","7.0mm","3.2mm"
"ドネペジル塩酸塩OD錠3mg「日医工」","1190012F3215","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠3mg「明治」","1190012F3240","","","6.35（mm）","2.4（mm）"
"ドネペジル塩酸塩OD錠3mg「DSEP」","1190012F3274","","","8.0mm","3.3mm"
"ドネペジル塩酸塩OD錠3mg「オーハラ」","1190012F3290","","","8.0mm","3.3mm"
"ドネペジル塩酸塩OD錠3mg「サンド」","1190012F3312","","","7.6mm","2.7mm"
"ドネペジル塩酸塩OD錠3mg「テバ」","1190012F3320","","","8.0mm","3.4mm"
"ドネペジル塩酸塩OD錠3mg「クニヒロ」","1190012F3339","","","7.0mm","3.2mm"
"ドネペジル塩酸塩OD錠3mg「ニプロ」","1190012F3347","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠5mg「NP」","1190012F4076","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠5mg「TCK」","1190012F4084","","","8.0mm","2.7mm"
"ドネペジル塩酸塩OD錠5mg「YD」","1190012F4092","","","約8mm","約2.7mm"
"ドネペジル塩酸塩OD錠5mg「ZE」","1190012F4106","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠5mg「アメル」","1190012F4114","","","約8.0mm","約3.3mm"
"ドネペジル塩酸塩OD錠5mg「杏林」","1190012F4130","","","8.0mm","2.7mm"
"ドネペジル塩酸塩OD錠5mg「サワイ」","1190012F4165","","","8.0mm","3.3mm"
"ドネペジル塩酸塩OD錠5mg「トーワ」","1190012F4203","","","8.0mm","3.5mm"
"ドネペジル塩酸塩OD錠5mg「日医工」","1190012F4211","","","7.0mm","3.0mm"
"ドネペジル塩酸塩OD錠5mg「明治」","1190012F4246","","","8.0（mm）","2.6（mm）"
"ドネペジル塩酸塩OD錠5mg「DSEP」","1190012F4270","","","8.0mm","3.3mm"
"ドネペジル塩酸塩OD錠5mg「オーハラ」","1190012F4297","","","8.0mm","3.3mm"
"ドネペジル塩酸塩OD錠5mg「サンド」","1190012F4319","","","7.6mm","2.7mm"
"ドネペジル塩酸塩OD錠5mg「テバ」","1190012F4327","","","8.0mm","3.4mm"
"ドネペジル塩酸塩OD錠5mg「クニヒロ」","1190012F4335","","","7.0mm","3.2mm"
"ドネペジル塩酸塩OD錠5mg「ニプロ」","1190012F4343","","","7.0mm","3.0mm"
"ドネペジル塩酸塩錠10mg「DSEP」","1190012F5048","","","8.6mm","5.0mm"
