"名称","個別医薬品コード","長径","短径","直径","厚さ"
"ハロペリドール錠2mg「ヨシトミ」","1179020F4081","","","8.1","2.4"
"セレネース錠3mg","1179020F5037","","","6.1","3.5"
"ハロペリドール錠3mg「アメル」","1179020F5142","","","6.1","3.3"
"ハロペリドール錠3mg「ヨシトミ」","1179020F5169","","","8.1","2.4"
"ベタナミン錠10mg","1179023F1035","","","7.0","2.7"
"ベタナミン錠25mg","1179023F2023","","","8.0","3.0"
"ベタナミン錠50mg","1179023F3020","","","9.0","3.4"
"ロドピン錠25mg","1179024F1030","","","5.6","3.1"
"ロドピン錠50mg","1179024F2036","","","7.4","4.2"
"ロドピン錠100mg","1179024F3024","","","10.0","5.2"
"デパス錠0.5mg","1179025F1026","","","6.5","3.1"
"エチゾラム錠0.5mg「EMEC」","1179025F1182","","","9.5","4.0"
"エチゾラム錠0.5mg「NP」","1179025F1220","","","6.6","3.7"
"エチゾラム錠0.5mg「SW」","1179025F1239","","","6.1","3.0"
"エチゾラム錠0.5mg「アメル」","1179025F1247","","","6.1","2.8"
"エチゾラム錠0.5mg「日医工」","1179025F1263","","","6.1","2.8"
"エチゾラム錠0.5mg「TCK」","1179025F1280","","","6.1","2.5"
"エチゾラム錠0.5mg「ツルハラ」","1179025F1298","","","5.6","2.6"
"エチゾラム錠0.5mg「トーワ」","1179025F1301","","","6.6","3.0"
"エチゾラム錠0.5mg「JG」","1179025F1328","","","6.6","3.7"
"エチゾラム錠0.5mg「クニヒロ」","1179025F1344","","","5.6","3.4"
"エチゾラム錠0.5mg「NIG」","1179025F1360","","","6.1","3.4"
"デパス錠1mg","1179025F2022","","","6.5","3.1"
"エチゾラム錠1mg「EMEC」","1179025F2170","","","9.5","4.0"
"エチゾラム錠1mg「NP」","1179025F2189","","","6.6","3.8"
"エチゾラム錠1mg「SW」","1179025F2197","","","7.1","3.1"
"エチゾラム錠1mg「アメル」","1179025F2200","","","6.1","2.8"
"エチゾラム錠1mg「日医工」","1179025F2227","","","6.1","2.8"
"エチゾラム錠1mg「TCK」","1179025F2243","","","6.1","3.4"
"エチゾラム錠1mg「ツルハラ」","1179025F2251","","","6.0","2.6"
"エチゾラム錠1mg「トーワ」","1179025F2260","","","6.6","3.0"
"エチゾラム錠1mg「JG」","1179025F2286","","","6.6","3.9"
"エチゾラム錠1mg「クニヒロ」","1179025F2308","","","6.6","3.8"
"エチゾラム錠1mg「NIG」","1179025F2324","","","6.1","3.4"
"デパス錠0.25mg","1179025F3029","","","6.5","3.4"
"エチゾラム錠0.25mg「NP」","1179025F3037","","","6.6","3.4"
"エチゾラム錠0.25mg「EMEC」","1179025F3045","","","8.0","3.3"
"エチゾラム錠0.25mg「JG」","1179025F3053","","","6.6","3.4"
"エチゾラム錠0.25mg「SW」","1179025F3070","","","6.1","3.4"
"エチゾラム錠0.25mg「ツルハラ」","1179025F3088","","","5.6","2.6"
"エチゾラム錠0.25mg「TCK」","1179025F3100","","","5.6","2.5"
"エチゾラム錠0.25mg「アメル」","1179025F3118","","","6.1","2.8"
"エチゾラム錠0.25mg「トーワ」","1179025F3134","","","6.6","3.0"
"エチゾラム錠0.25mg「日医工」","1179025F3142","","","6.6","3.0"
"エチゾラム錠0.25mg「クニヒロ」","1179025F3177","","","6.6","3.8"
"エチゾラム錠0.25mg「NIG」","1179025F3193","","","5.6","2.5"
"トロペロン錠0.5mg","1179026F1020","","","6.0","2.4"
"チミペロン錠0.5mg「アメル」","1179026F1047","","","6.0","2.4"
"トロペロン錠1mg","1179026F2027","","","7.0","2.5"
"チミペロン錠1mg「アメル」","1179026F2043","","","7.0","2.6"
"トロペロン錠3mg","1179026F3023","","","8.0","3.1"
"チミペロン錠3mg「アメル」","1179026F3040","","","8.0","3.1"
"プロチアデン錠25","1179027F1025","","","7.4","4.0"
"ブロムペリドール錠1mg「アメル」","1179028F1089","","","7.0","2.4"
"ブロムペリドール錠1mg「サワイ」","1179028F1097","","","6.0","3.1"
"ブロムペリドール錠3mg「アメル」","1179028F2131","","","6.0","2.6"
"ブロムペリドール錠3mg「サワイ」","1179028F2140","","","6.0","3.1"
"ブロムペリドール錠6mg「アメル」","1179028F3065","","","6.0","2.6"
"ブロムペリドール錠6mg「サワイ」","1179028F3073","","","7.0","3.1"
"クロフェクトン錠10mg","1179030F1035","","","6.6","3.2"
"クロフェクトン錠25mg","1179030F2066","","","7.1","3.2"
"クロフェクトン錠50mg","1179030F3020","","","7.6","3.6"
"バルネチール錠50","1179032F1026","","","5.6","2.8"
"バルネチール錠100","1179032F2022","","","7.1","3.4"
"バルネチール錠200","1179032F3029","","","9.1","4.1"
"テトラミド錠10mg","1179033F1020","","","6.1","2.5"
"テトラミド錠30mg","1179033F2027","","","12.3","3.5"
"セチプチリンマレイン酸塩錠1mg「サワイ」","1179034F1068","","","6.0","3.2"
"クレミン錠10mg","1179035F1020","","","6.2","2.9"
"クレミン錠25mg","1179035F3022","","","7.2","3.3"
"クレミン錠50mg","1179035F4029","","","7.7","3.6"
"エミレース錠3mg","1179036F1024","","","6.7","3.4"
"エミレース錠10mg","1179036F2020","","","8.8","4.5"
"レスリン錠25","1179037F1029","","","6.6","3.0"
"トラゾドン塩酸塩錠25mg「アメル」","1179037F1053","","","6.6","2.9"
"レスリン錠50","1179037F2025","","","7.1","3.5"
"トラゾドン塩酸塩錠50mg「アメル」","1179037F2050","","","7.1","3.1"
"リスペリドン錠1mg「CH」","1179038F1031","","","6.6","3.1"
"リスペリドン錠1mg「NP」","1179038F1058","","","6.5","3.0"
"リスペリドン錠1mg「アメル」","1179038F1074","","","6.7","3.0"
"リスペリドン錠1mg「サワイ」","1179038F1090","","","6.7","3.1"
"リスペリドン錠1mg「ヨシトミ」","1179038F1147","","","6.6","3.2"
"リスペリドン錠1mg「トーワ」","1179038F1171","","","6.6","2.8"
"リスペリドン錠1mg「クニヒロ」","1179038F1180","","","6.5","2.9"
"リスペリドン錠2mg「CH」","1179038F2038","","","7.1","3.1"
"リスペリドン錠2mg「NP」","1179038F2054","","","7.0","3.7"
"リスペリドン錠2mg「アメル」","1179038F2070","","","7.2","3.8"
"リスペリドン錠2mg「サワイ」","1179038F2097","","","7.1","3.8"
"リスペリドン錠2mg「トーワ」","1179038F2127","","","7.1","3.7"
"リスペリドン錠2mg「ヨシトミ」","1179038F2151","","","7.1","3.8"
"リスペリドン錠2mg「クニヒロ」","1179038F2186","","","7.0","3.1"
"リスペリドン錠3mg「アメル」","1179038F3034","","","8.2","4.2"
"リスペリドン錠3mg「NP」","1179038F3069","","","8.1","4.0"
"リスペリドン錠3mg「サワイ」","1179038F3085","","","8.1","4.3"
"リスペリドン錠3mg「ヨシトミ」","1179038F3115","","","8.1","4.5"
"リスペリドン錠3mg「トーワ」","1179038F3123","","","8.1","4.2"
"リスペリドン錠3mg「CH」","1179038F3166","","","8.1","4.0"
"リスペリドン錠3mg「クニヒロ」","1179038F3174","","","8.0","3.9"
"リスペリドン錠0.5mg「NP」","1179038F4022","","","6.0","2.7"
"リスペリドン錠0.5mg「ヨシトミ」","1179038F4049","","","6.0","2.7"
"リスペリドン錠0.5mg「アメル」","1179038F4057","","","6.1","2.7"
"リスペリドン錠0.5mg「クニヒロ」","1179038F4065","","","6.0","2.7"
"リスペリドンOD錠1mg「サワイ」","1179038F5037","","","6.5","2.3"
"リスペリドンOD錠1mg「アメル」","1179038F5045","","","6.5","2.6"
"リスペリドンOD錠1mg「トーワ」","1179038F5061","","","6.5","2.8"
"リスペリドンOD錠2mg「サワイ」","1179038F6033","","","7.0","2.6"
"リスペリドンOD錠2mg「アメル」","1179038F6041","","","7.0","2.8"
"リスペリドンOD錠2mg「トーワ」","1179038F6068","","","7.0","3.1"
"リスペリドンOD錠0.5mg「サワイ」","1179038F7048","","","5.0","2.4"
"リスペリドンOD錠0.5mg「トーワ」","1179038F7056","","","5.0","2.3"
"リスペリドンOD錠0.5mg「アメル」","1179038F7064","","","5.0","2.0"
"リスペリドンOD錠3mg「サワイ」","1179038F8036","","","8.0","3.1"
"リスペリドンOD錠3mg「トーワ」","1179038F8044","","","7.5","3.3"
"リスペリドンOD錠3mg「アメル」","1179038F8052","","","8.0","2.9"
"デプロメール錠25","1179039F1028","","","5.1","2.3"
"フルボキサミンマレイン酸塩錠25mg「NP」","1179039F1087","","","5.2","2.3"
"フルボキサミンマレイン酸塩錠25mg「アメル」","1179039F1117","","","5.1","2.4"
"フルボキサミンマレイン酸塩錠25mg「サワイ」","1179039F1141","","","5.1","2.3"
"フルボキサミンマレイン酸塩錠25mg「日医工」","1179039F1168","","","5.1","2.3"
"フルボキサミンマレイン酸塩錠25mg「トーワ」","1179039F1184","","","5.1","2.6"
"デプロメール錠50","1179039F2024","","","6.1","3.0"
"フルボキサミンマレイン酸塩錠50mg「NP」","1179039F2083","","","6.2","3.0"
"フルボキサミンマレイン酸塩錠50mg「アメル」","1179039F2113","","","6.1","3.1"
"フルボキサミンマレイン酸塩錠50mg「サワイ」","1179039F2148","","","6.1","3.0"
"フルボキサミンマレイン酸塩錠50mg「日医工」","1179039F2164","","","6.1","3.0"
"フルボキサミンマレイン酸塩錠50mg「トーワ」","1179039F2180","","","6.1","3.4"
"デプロメール錠75","1179039F3020","","","7.1","3.4"
"フルボキサミンマレイン酸塩錠75mg「NP」","1179039F3080","","","7.2","3.3"
"フルボキサミンマレイン酸塩錠75mg「アメル」","1179039F3110","","","7.1","3.4"
"フルボキサミンマレイン酸塩錠75mg「サワイ」","1179039F3144","","","7.1","3.4"
"フルボキサミンマレイン酸塩錠75mg「日医工」","1179039F3160","","","7.1","3.3"
"フルボキサミンマレイン酸塩錠75mg「トーワ」","1179039F3187","","","7.1","3.8"
"ミルナシプラン塩酸塩錠15mg「NP」","1179040F1055","","","6.6","3.6"
"ミルナシプラン塩酸塩錠15mg「アメル」","1179040F1080","","","6.2","2.7"
"ミルナシプラン塩酸塩錠15mg「サワイ」","1179040F1098","","","6.1","2.5"
"トレドミン錠15mg","1179040F1136","","","6.1","2.5"
"ミルナシプラン塩酸塩錠25mg「NP」","1179040F2051","","","6.6","3.7"
"ミルナシプラン塩酸塩錠25mg「アメル」","1179040F2086","","","6.2","2.8"
"ミルナシプラン塩酸塩錠25mg「サワイ」","1179040F2094","","","6.1","2.7"
"トレドミン錠25mg","1179040F2132","","","6.1","2.7"
"トレドミン錠12.5mg","1179040F3023","","","6.1","2.6"
"ミルナシプラン塩酸塩錠12.5mg「アメル」","1179040F3031","","","6.2","2.7"
"ミルナシプラン塩酸塩錠12.5mg「サワイ」","1179040F3040","","","5.1","2.3"
"ミルナシプラン塩酸塩錠12.5mg「NP」","1179040F3104","","","6.6","3.6"
"トレドミン錠50mg","1179040F4020","","","7.1","4.0"
"ミルナシプラン塩酸塩錠50mg「サワイ」","1179040F4038","","","7.1","3.1"
"ミルナシプラン塩酸塩錠50mg「アメル」","1179040F4062","","","7.7","3.5"
"ミルナシプラン塩酸塩錠50mg「NP」","1179040F4097","","","8.1","4.3"
"パロキセチン錠10mg「AA」","1179041F1033","","","6.6","3.6"
"パロキセチン錠10mg「DSEP」","1179041F1050","","","6.5","3.6"
"パロキセチン錠10mg「NP」","1179041F1130","","","6.6","3.5"
"パロキセチン錠10mg「TCK」","1179041F1149","","","6.6","3.8"
"パロキセチン錠10mg「TSU」","1179041F1157","","","6.1","2.9"
"パロキセチン錠10mg「YD」","1179041F1165","","","6.6","3.6"
"パロキセチン錠10mg「オーハラ」","1179041F1181","","","6.6","3.6"
"パロキセチン錠10mg「ケミファ」","1179041F1203","","","6.6","3.6"
"パロキセチン錠10mg「サワイ」","1179041F1211","","","6.6","3.5"
"パロキセチン錠10mg「サンド」","1179041F1220","","","6.6","3.5"
"パロキセチン錠10mg「トーワ」","1179041F1254","","","7.1","3.2"
"パロキセチン錠10mg「明治」","1179041F1300","","","7.1","3.2"
"パロキセチン錠10mg「ニプロ」","1179041F1386","","","6.6","3.8"
"パロキセチン錠10mg「NIG」","1179041F1394","","","6.6","3.7"
"パロキセチン錠20mg「AA」","1179041F2030","","","8.1","4.8"
"パロキセチン錠20mg「DSEP」","1179041F2056","","","8.0","4.1"
"パロキセチン錠20mg「NP」","1179041F2137","","","8.1","4.1"
"パロキセチン錠20mg「TCK」","1179041F2145","","","8.1","5.0"
"パロキセチン錠20mg「TSU」","1179041F2153","","","7.6","3.5"
"パロキセチン錠20mg「YD」","1179041F2161","","","8.1","4.8"
"パロキセチン錠20mg「オーハラ」","1179041F2188","","","8.1","4.8"
"パロキセチン錠20mg「ケミファ」","1179041F2200","","","8.1","4.7"
"パロキセチン錠20mg「サワイ」","1179041F2218","","","8.1","4.5"
"パロキセチン錠20mg「サンド」","1179041F2226","","","8.1","4.1"
"パロキセチン錠20mg「トーワ」","1179041F2250","","","8.1","3.4"
"パロキセチン錠20mg「明治」","1179041F2307","","","8.1","4.8"
"パロキセチン錠20mg「ニプロ」","1179041F2382","","","8.1","5.0"
"パロキセチン錠20mg「NIG」","1179041F2390","","","8.1","4.7"
"パロキセチン錠5mg「AA」","1179041F3036","","","5.6","2.5"
"パロキセチン錠5mg「DSEP」","1179041F3052","","","6.5","3.6"
"パロキセチン錠5mg「NP」","1179041F3095","","","6.6","3.5"
"パロキセチン錠5mg「TCK」","1179041F3109","","","6.6","3.8"
"パロキセチン錠5mg「TSU」","1179041F3117","","","5.6","2.7"
"パロキセチン錠5mg「YD」","1179041F3125","","","5.6","2.5"
"パロキセチン錠5mg「ケミファ」","1179041F3141","","","5.6","2.5"
"パロキセチン錠5mg「サワイ」","1179041F3150","","","6.6","3.5"
"パロキセチン錠5mg「サンド」","1179041F3168","","","6.6","3.5"
"パロキセチン錠5mg「トーワ」","1179041F3192","","","6.6","3.5"
"パロキセチン錠5mg「明治」","1179041F3230","","","7.1","3.2"
"パロキセチン錠5mg「オーハラ」","1179041F3290","","","5.6","2.4"
"パロキセチン錠5mg「ニプロ」","1179041F3370","","","6.6","3.8"
"パロキセチン錠5mg「NIG」","1179041F3389","","","5.6","2.5"
"パロキセチンOD錠10mg「トーワ」","1179041F4024","","","7.0","3.4"
"パロキセチンOD錠20mg「トーワ」","1179041F5020","","","9.0","4.2"
"パロキセチンOD錠5mg「トーワ」","1179041F6027","","","5.5","2.7"
"セロクエル25mg錠","1179042F1020","","","6.0","3.5"
"クエチアピン錠25mg「DSEP」","1179042F1046","","","6.1","2.9"
"クエチアピン錠25mg「アメル」","1179042F1100","","","6.1","3.3"
"クエチアピン錠25mg「サワイ」","1179042F1119","","","5.6","3.0"
"クエチアピン錠25mg「サンド」","1179042F1127","","","5.4","2.9"
"クエチアピン錠25mg「トーワ」","1179042F1151","","","5.6","2.5"
"クエチアピン錠25mg「明治」","1179042F1194","","","6.1","2.5"
"クエチアピン錠25mg「ニプロ」","1179042F1232","","","6.1","2.9"
"セロクエル100mg錠","1179042F2026","","","8.5","4.5"
"クエチアピン錠100mg「DSEP」","1179042F2042","","","8.6","4.0"
"クエチアピン錠100mg「アメル」","1179042F2107","","","8.6","4.4"
"クエチアピン錠100mg「サワイ」","1179042F2115","","","8.6","4.2"
"クエチアピン錠100mg「サンド」","1179042F2123","","","8.5","4.9"
"クエチアピン錠100mg「トーワ」","1179042F2158","","","8.6","4.1"
"クエチアピン錠100mg「明治」","1179042F2190","","","8.6","4.4"
"クエチアピン錠100mg「ニプロ」","1179042F2239","","","8.6","4.0"
"セロクエル200mg錠","1179042F3022","","","11","5.4"
"クエチアピン錠200mg「DSEP」","1179042F3049","","","11.1","5.5"
"クエチアピン錠200mg「アメル」","1179042F3103","","","11.1","5.5"
"クエチアピン錠200mg「サワイ」","1179042F3111","","","11.1","5.1"
"クエチアピン錠200mg「サンド」","1179042F3120","","","11.5","5.8"
"クエチアピン錠200mg「トーワ」","1179042F3154","","","11.1","5.1"
"クエチアピン錠200mg「明治」","1179042F3197","","","11.1","5.5"
"クエチアピン錠200mg「ニプロ」","1179042F3235","","","11.1","5.5"
"クエチアピン錠12.5mg「アメル」","1179042F4029","","","6.1","2.9"
"クエチアピン錠12.5mg「明治」","1179042F4045","","","5.1","1.7"
"クエチアピン錠50mg「サワイ」","1179042F5033","","","7.1","3.3"
"クエチアピン錠50mg「アメル」","1179042F5041","","","7.6","3.3"
"クエチアピン錠50mg「明治」","1179042F5068","","","7.1","3.5"
"ビプレッソ徐放錠50mg","1179042G1025","16.3","6.6","","5.1"
"ビプレッソ徐放錠150mg","1179042G2021","17.3","6.8","","5.5"
"ルーラン錠4mg","1179043F1032","","","7.1","3.0"
"ペロスピロン塩酸塩錠4mg「アメル」","1179043F1040","","","7.1","3.0"
"ルーラン錠8mg","1179043F2039","","","7.1","3.0"
"ペロスピロン塩酸塩錠8mg「アメル」","1179043F2047","","","7.1","3.0"
"ルーラン錠16mg","1179043F3027","13.1","5.6","","4.0"
"ペロスピロン塩酸塩錠16mg「アメル」","1179043F3035","13.2","5.6","","4.0"
"ジプレキサ錠2.5mg","1179044F1029","","","7.1","3.4"
"オランザピン錠2.5mg「DSEP」","1179044F1037","","","7.2","3.5"
"オランザピン錠2.5mg「YD」","1179044F1070","","","7.2","2.9"
"オランザピン錠2.5mg「アメル」","1179044F1088","","","6.2","2.9"
"オランザピン錠2.5mg「杏林」","1179044F1100","","","7.2","3.5"
"オランザピン錠2.5mg「サワイ」","1179044F1118","","","7.2","3.3"
"オランザピン錠2.5mg「トーワ」","1179044F1142","","","6.1","2.9"
"オランザピン錠2.5mg「ニプロ」","1179044F1177","","","7.2","3.4"
"オランザピン錠2.5mg「明治」","1179044F1193","","","7.1","3.3"
"オランザピン錠2.5mg「VTRS」","1179044F1215","","","6.6","3.2"
"オランザピン錠2.5mg「NP」","1179044F1223","","","7.2","3.4"
"オランザピン錠2.5mg「NIG」","1179044F1231","","","7.1","3.4"
"ジプレキサ錠5mg","1179044F2025","","","8.1","4.0"
"オランザピン錠5mg「DSEP」","1179044F2033","","","8.2","4.0"
"オランザピン錠5mg「YD」","1179044F2076","","","7.2","2.9"
"オランザピン錠5mg「アメル」","1179044F2084","","","7.2","3.4"
"オランザピン錠5mg「杏林」","1179044F2106","","","8.2","4.0"
"オランザピン錠5mg「サワイ」","1179044F2114","","","8.2","3.8"
"オランザピン錠5mg「トーワ」","1179044F2149","","","7.1","3.2"
"オランザピン錠5mg「ニプロ」","1179044F2173","","","8.2","4.0"
"オランザピン錠5mg「明治」","1179044F2190","","","8.2","3.9"
"オランザピン錠5mg「VTRS」","1179044F2211","","","8.2","4.3"
"オランザピン錠5mg「NP」","1179044F2220","","","8.2","4.0"
"オランザピン錠5mg「NIG」","1179044F2238","","","8.1","4.2"
"ジプレキサ錠10mg","1179044F3021","","","10.2","5.0"
"オランザピン錠10mg「DSEP」","1179044F3030","","","10.2","5.2"
"オランザピン錠10mg「YD」","1179044F3072","","","8.2","3.7"
"オランザピン錠10mg「アメル」","1179044F3080","","","8.2","3.9"
"オランザピン錠10mg「杏林」","1179044F3102","","","10.2","5.2"
"オランザピン錠10mg「サワイ」","1179044F3110","","","9.2","4.0"
"オランザピン錠10mg「トーワ」","1179044F3145","","","8.1","3.4"
"オランザピン錠10mg「ニプロ」","1179044F3170","","","9.2","4.5"
"オランザピン錠10mg「明治」","1179044F3196","","","10.1","5.1"
"オランザピン錠10mg「VTRS」","1179044F3218","","","10.2","5.3"
"オランザピン錠10mg「NP」","1179044F3226","","","9.2","4.5"
"オランザピン錠10mg「NIG」","1179044F3234","","","8.1","4.2"
"ジプレキサザイディス錠5mg","1179044F4028","","","10","2.4"
"オランザピンOD錠5mg「DSEP」","1179044F4036","","","8.1","3.5"
"オランザピンOD錠5mg「アメル」","1179044F4060","","","8.0","3.7"
"オランザピンOD錠5mg「杏林」","1179044F4079","","","8.1","3.5"
"オランザピンOD錠5mg「トーワ」","1179044F4109","","","7.0","3.4"
"オランザピンOD錠5mg「日医工」","1179044F4117","","","7.0","3.0"
"オランザピンOD錠5mg「ニプロ」","1179044F4125","","","8.0","4.0"
"オランザピンOD錠5mg「明治」","1179044F4141","","","8.1","3.4"
"オランザピンOD錠5mg「VTRS」","1179044F4168","","","6.5","2.4"
"オランザピンOD錠5mg「NP」","1179044F4176","","","8.0","4.0"
"オランザピンOD錠5mg「NIG」","1179044F4184","","","8.0","3.6"
"ジプレキサザイディス錠10mg","1179044F5024","","","11","2.7"
"オランザピンOD錠10mg「DSEP」","1179044F5032","","","10.1","4.5"
"オランザピンOD錠10mg「アメル」","1179044F5067","","","10.0","4.9"
"オランザピンOD錠10mg「杏林」","1179044F5075","","","10.1","4.5"
"オランザピンOD錠10mg「トーワ」","1179044F5105","","","9.0","4.3"
"オランザピンOD錠10mg「日医工」","1179044F5113","","","8.5","4.1"
"オランザピンOD錠10mg「ニプロ」","1179044F5121","","","10.0","5.0"
"オランザピンOD錠10mg「明治」","1179044F5148","","","10.1","4.7"
"オランザピンOD錠10mg「VTRS」","1179044F5164","","","8.0","3.7"
"オランザピンOD錠10mg「NP」","1179044F5172","","","10.0","5.0"
"オランザピンOD錠10mg「NIG」","1179044F5180","","","10.0","4.5"
"ジプレキサザイディス錠2.5mg","1179044F6020","","","10","2.4"
"オランザピンOD錠2.5mg「DSEP」","1179044F6039","","","6.1","3.0"
"オランザピンOD錠2.5mg「アメル」","1179044F6063","","","7.0","3.2"
"オランザピンOD錠2.5mg「杏林」","1179044F6071","","","6.1","3.0"
"オランザピンOD錠2.5mg「トーワ」","1179044F6101","","","5.5","2.7"
"オランザピンOD錠2.5mg「明治」","1179044F6128","","","6.4","2.6"
"オランザピンOD錠2.5mg「日医工」","1179044F6136","","","6.1","3.0"
"オランザピンOD錠2.5mg「ニプロ」","1179044F6144","","","7.0","3.4"
"オランザピンOD錠2.5mg「VTRS」","1179044F6152","8.3","4.0","","2.7"
"オランザピンOD錠2.5mg「NIG」","1179044F6160","","","6.5","2.8"
"オランザピン錠1.25mg「アメル」","1179044F7027","","","6.2","2.9"
"オランザピン錠20mg「アメル」","1179044F8040","","","10.2","5.0"
"オランザピンOD錠1.25mg「アメル」","1179044F9020","","","7.0","3.2"
"エビリファイ錠3mg","1179045F1023","","","6","2.5"
"アリピプラゾール錠3mg「YD」","1179045F1040","","","5","1.9"
"アリピプラゾール錠3mg「アメル」","1179045F1058","","","6.0","2.4"
"アリピプラゾール錠3mg「サワイ」","1179045F1074","","","6.0","2.6"
"アリピプラゾール錠3mg「トーワ」","1179045F1090","","","6.0","2.5"
"アリピプラゾール錠3mg「日医工」","1179045F1104","","","6.0","2.5"
"アリピプラゾール錠3mg「ニプロ」","1179045F1112","","","6.0","2.5"
"アリピプラゾール錠3mg「明治」","1179045F1120","","","6.0","2.5"
"エビリファイ錠6mg","1179045F2020","","","7","2.7"
"アリピプラゾール錠6mg「YD」","1179045F2046","","","6","2.7"
"アリピプラゾール錠6mg「アメル」","1179045F2054","","","7.0","2.7"
"アリピプラゾール錠6mg「サワイ」","1179045F2070","","","7.0","2.8"
"アリピプラゾール錠6mg「トーワ」","1179045F2097","","","7.0","2.7"
"アリピプラゾール錠6mg「日医工」","1179045F2100","","","7.0","2.7"
"アリピプラゾール錠6mg「ニプロ」","1179045F2119","","","7.0","2.7"
"アリピプラゾール錠6mg「明治」","1179045F2127","","","7.0","2.6"
"エビリファイ錠12mg","1179045F3026","","","8","2.8"
"アリピプラゾール錠12mg「YD」","1179045F3042","","","8","3.1"
"アリピプラゾール錠12mg「アメル」","1179045F3050","","","8.0","2.8"
"アリピプラゾール錠12mg「サワイ」","1179045F3077","","","8.0","2.9"
"アリピプラゾール錠12mg「トーワ」","1179045F3093","","","8.0","2.8"
"アリピプラゾール錠12mg「日医工」","1179045F3107","","","8.0","2.8"
"アリピプラゾール錠12mg「ニプロ」","1179045F3115","","","8.0","2.8"
"アリピプラゾール錠12mg「明治」","1179045F3123","","","8.0","2.8"
"エビリファイOD錠3mg","1179045F4022","","","10","3"
"アリピプラゾールOD錠3mg「杏林」","1179045F4065","","","6.0","3.0"
"アリピプラゾールOD錠3mg「トーワ」","1179045F4090","","","6.5","3.3"
"アリピプラゾールOD錠3mg「日医工」","1179045F4103","","","6.0","2.7"
"アリピプラゾールOD錠3mg「ニプロ」","1179045F4111","","","6.0","2.6"
"アリピプラゾールOD錠3mg「明治」","1179045F4120","","","6.0","2.5"
"エビリファイOD錠6mg","1179045F5029","","","12","4"
"アリピプラゾールOD錠6mg「杏林」","1179045F5061","","","7.0","3.3"
"アリピプラゾールOD錠6mg「トーワ」","1179045F5096","","","7.5","3.5"
"アリピプラゾールOD錠6mg「日医工」","1179045F5100","","","7.0","2.9"
"アリピプラゾールOD錠6mg「ニプロ」","1179045F5118","","","7.0","2.8"
"アリピプラゾールOD錠6mg「明治」","1179045F5126","","","7.0","2.6"
"エビリファイOD錠12mg","1179045F6025","","","14","4"
"アリピプラゾールOD錠12mg「杏林」","1179045F6068","","","8.0","3.5"
"アリピプラゾールOD錠12mg「トーワ」","1179045F6092","","","8.5","4.0"
"アリピプラゾールOD錠12mg「日医工」","1179045F6106","","","8.0","3.1"
"アリピプラゾールOD錠12mg「ニプロ」","1179045F6114","","","8.0","2.9"
"アリピプラゾールOD錠12mg「明治」","1179045F6122","","","9.0","3.8"
"エビリファイOD錠24mg","1179045F7021","","","18","5"
"アリピプラゾールOD錠24mg「杏林」","1179045F7064","","","10.0","4.5"
"アリピプラゾールOD錠24mg「トーワ」","1179045F7099","","","9.5","4.7"
"アリピプラゾールOD錠24mg「日医工」","1179045F7102","","","10.0","3.9"
"アリピプラゾールOD錠24mg「ニプロ」","1179045F7110","","","9.0","3.2"
"アリピプラゾールOD錠24mg「明治」","1179045F7129","16.0","7.8","","4.3"
"エビリファイ錠1mg","1179045F8028","","","6","2.5"
"アリピプラゾール錠1mg「サワイ」","1179045F8036","","","6.0","2.6"
"アリピプラゾール錠24mg「YD」","1179045F9024","","","10","4.1"
"アリピプラゾール錠24mg「アメル」","1179045F9032","","","11.0","3.9"
"アリピプラゾール錠24mg「サワイ」","1179045F9059","","","9.0","3.3"
"アリピプラゾール錠24mg「トーワ」","1179045F9067","","","9.0","3.7"
"アリピプラゾール錠24mg「明治」","1179045F9075","13.5","6.5","","4.2"
"セルトラリン錠25mg「DSEP」","1179046F1036","8.4","4.1","","2.7"
"セルトラリン錠25mg「TCK」","1179046F1052","8.4","4.1","","3.1"
"セルトラリン錠25mg「YD」","1179046F1060","8.4","4.1","","2.6"
"セルトラリン錠25mg「アメル」","1179046F1079","8.4","4.1","","2.6"
"セルトラリン錠25mg「杏林」","1179046F1095","8.5","4.5","","2.7"
"セルトラリン錠25mg「ケミファ」","1179046F1109","","","","2.7"
"セルトラリン錠25mg「サワイ」","1179046F1117","","","8.5","2.5"
"セルトラリン錠25mg「ツルハラ」","1179046F1168","","","5.6","2.9"
"セルトラリン錠25mg「トーワ」","1179046F1176","8.4","4.1","","2.2"
"セルトラリン錠25mg「明治」","1179046F1206","8.4","4.1","","2.6"
"セルトラリン錠25mg「NP」","1179046F1214","8.4","4.1","","2.7"
"セルトラリン錠50mg「DSEP」","1179046F2032","","","7.1","3.7"
"セルトラリン錠50mg「TCK」","1179046F2059","","","7.1","3.6"
"セルトラリン錠50mg「YD」","1179046F2067","","","7.1","3.6"
"セルトラリン錠50mg「アメル」","1179046F2075","","","7.1","3.4"
"セルトラリン錠50mg「杏林」","1179046F2091","","","7.1","3.6"
"セルトラリン錠50mg「ケミファ」","1179046F2105","","","7.1","3.7"
"セルトラリン錠50mg「サワイ」","1179046F2113","","","7.2","3.5"
"セルトラリン錠50mg「ツルハラ」","1179046F2164","","","7.1","3.1"
"セルトラリン錠50mg「トーワ」","1179046F2172","","","7.1","3.4"
"セルトラリン錠50mg「明治」","1179046F2202","","","7.1","3.6"
